FamID	Expected	Var	CoVar
103	1.28320802005013	0.345022958398502	0.286734459107808
105	1.14285714285714	0.122448979591837	0.027681660899654
110	1.33333333333333	0.222222222222222	0
115	1.64102564102564	0.589086127547666	0.152290303390839
119	1.81620662897683	1.29866651045822	1.29866651045822
121	1.33463924257264	0.22265581990305	0.000290391541626134
124	1.42222222222222	0.377283950617284	0.105079980500856
125	1.32642487046632	0.31313592311203	0.129722124303953
126	1.73913043478261	0.801512287334593	0.264530878590137
129	1.47126436781609	0.502047826661382	0.155126039907425
131	1.42222222222222	0.510617283950617	0.117199006859404
133	1.2	0.16	0.00346020761245658
151	1.39245723998725	0.682798731970583	0.682798731970583
182	1.33333333333333	0.222222222222222	0
207	1.14541387024608	0.12426867658614	0.0276240997503205
210	1.12280701754386	0.11942136041859	0.0460242741311938
211	1.43820224719101	0.448428228758995	0.157564402339757
212	1.31619537275064	0.324185010672676	0.102186001412318
217	1.33333333333333	0.222222222222222	0
220	1.19347319347319	0.216647377486538	0.164296891058036
224	1.25798525798526	0.265138938357612	0.125227117659019
228	1.73913043478261	0.975425330812854	0.222149341840461
230	1.33333333333333	0.222222222222222	0
233	1.26315789473684	0.193905817174515	0.00882167611846252
234	1.3551912568306	0.229030427901699	0.00491037524837967
235	1.5	0.5	0.0399999999999996
238	1.62536200226726	1.223202371672	1.14285678042431
255	1.23252081756245	0.245858369172988	0.174470484373143
